file,seed,n,n_null,null_mode,mode,stat,band_fraction,p_value,p_value_flip,p_value_phase,p_value_final,decision_alpha_0.05,fs_ds,target_fs,nperseg,band_min,band_max
result\t2\20250907-131456.json,0,8192,2000,flip,mean,0.999507,0.0153846,0.132,,,,,19.5048,,128,0.7,0.9
result\t2\20250908-120735.json,0,8192,2000,both,mean,0.999507,0.0153846,0.132,0.132,0,0.132,False,19.5048,,128,0.7,0.9
result\t2\20250908-121725.json,0,32768,8000,both,mean,0.999933,0.0153846,0.124625,0.124625,0.001875,0.124625,False,19.8594,,128,0.7,0.9
result\t2\20250908-121941.json,0,16384,5000,both,mean,0.999919,0.0153846,0.1524,0.1524,0.0194,0.1524,False,20.2272,,128,0.7,0.9
result\t2\20250908-121955.json,1,16384,5000,both,mean,0.999886,0.0153846,0.0672,0.0672,0.0022,0.0672,False,20.2272,,128,0.7,0.9
result\t2\20250908-122010.json,2,16384,5000,both,mean,0.999849,0.0153846,0.0706,0.0706,0.034,0.0706,False,20.2272,,128,0.7,0.9
result\t2\20250908-122024.json,3,16384,5000,both,mean,0.999898,0.0153846,0.1824,0.1824,0.0062,0.1824,False,20.2272,,128,0.7,0.9
result\t2\20250908-122039.json,4,16384,5000,both,mean,0.999822,0.0153846,0.253,0.253,0.1084,0.253,False,20.2272,,128,0.7,0.9
result\t2\20250908-124652.json,0,12288,5000,both,mean,0.999751,0.0153846,0.1622,0.1622,0,0.1622,False,20.48,,128,0.7,0.9
result\t2\20250908-124704.json,1,12288,5000,both,mean,0.999817,0.0153846,0.0484,0.0484,0,0.0484,True,20.48,,128,0.7,0.9
result\t2\20250908-124717.json,2,12288,5000,both,mean,0.999686,0.0153846,0.1124,0.1124,0.0006,0.1124,False,20.48,,128,0.7,0.9
result\t2\20250908-124729.json,3,12288,5000,both,mean,0.999811,0.0153846,0.0802,0.0802,0,0.0802,False,20.48,,128,0.7,0.9
result\t2\20250908-124742.json,4,12288,5000,both,mean,0.999684,0.0153846,0.0678,0.0678,0,0.0678,False,20.48,,128,0.7,0.9
result\t2\20250908-124754.json,5,12288,5000,both,mean,0.999827,0.0153846,0.1282,0.1282,0,0.1282,False,20.48,,128,0.7,0.9
result\t2\20250908-124806.json,6,12288,5000,both,mean,0.999901,0.0153846,0.0732,0.0732,0,0.0732,False,20.48,,128,0.7,0.9
result\t2\20250908-124819.json,7,12288,5000,both,mean,0.999803,0.0153846,0.0176,0.0176,0,0.0176,True,20.48,,128,0.7,0.9
result\t2\20250908-124831.json,8,12288,5000,both,mean,0.999819,0.0153846,0.1718,0.1718,0.0002,0.1718,False,20.48,,128,0.7,0.9
result\t2\20250908-124844.json,9,12288,5000,both,mean,0.999761,0.0153846,0.1204,0.1204,0.0002,0.1204,False,20.48,,128,0.7,0.9
result\t2\20250908-124943.json,0,12288,5000,both,mean,0.999344,0.0461538,0.1108,0.1108,0.0002,0.1108,False,20.48,,128,0.6,1
result\t2\20250908-124955.json,1,12288,5000,both,mean,0.999362,0.0461538,0.1512,0.1512,0,0.1512,False,20.48,,128,0.6,1
result\t2\20250908-125008.json,2,12288,5000,both,mean,0.998977,0.0461538,0.2048,0.2048,0.0002,0.2048,False,20.48,,128,0.6,1
result\t2\20250908-125020.json,3,12288,5000,both,mean,0.999494,0.0461538,0.0872,0.0872,0,0.0872,False,20.48,,128,0.6,1
result\t2\20250908-125033.json,4,12288,5000,both,mean,0.999257,0.0461538,0.0364,0.0364,0,0.0364,True,20.48,,128,0.6,1
result\t2\20250908-131316.json,0,12288,5000,both,mean,0.999751,0.0153846,0.1622,0.1622,0,0.1622,False,20.48,,128,0.7,0.9
result\t2\20250908-131329.json,1,12288,5000,both,mean,0.999817,0.0153846,0.0484,0.0484,0,0.0484,True,20.48,,128,0.7,0.9
result\t2\20250908-131341.json,2,12288,5000,both,mean,0.999686,0.0153846,0.1124,0.1124,0.0006,0.1124,False,20.48,,128,0.7,0.9
result\t2\20250908-131354.json,3,12288,5000,both,mean,0.999811,0.0153846,0.0802,0.0802,0,0.0802,False,20.48,,128,0.7,0.9
result\t2\20250908-131407.json,4,12288,5000,both,mean,0.999684,0.0153846,0.0678,0.0678,0,0.0678,False,20.48,,128,0.7,0.9
result\t2\20250908-131419.json,5,12288,5000,both,mean,0.999827,0.0153846,0.1282,0.1282,0,0.1282,False,20.48,,128,0.7,0.9
result\t2\20250908-131432.json,6,12288,5000,both,mean,0.999901,0.0153846,0.0732,0.0732,0,0.0732,False,20.48,,128,0.7,0.9
result\t2\20250908-131444.json,7,12288,5000,both,mean,0.999803,0.0153846,0.0176,0.0176,0,0.0176,True,20.48,,128,0.7,0.9
result\t2\20250908-131457.json,8,12288,5000,both,mean,0.999819,0.0153846,0.1718,0.1718,0.0002,0.1718,False,20.48,,128,0.7,0.9
result\t2\20250908-131509.json,9,12288,5000,both,mean,0.999761,0.0153846,0.1204,0.1204,0.0002,0.1204,False,20.48,,128,0.7,0.9
result\t2\20250908-131522.json,10,12288,5000,both,mean,0.999822,0.0153846,0.119,0.119,0.0002,0.119,False,20.48,,128,0.7,0.9
result\t2\20250908-131534.json,11,12288,5000,both,mean,0.999837,0.0153846,0.063,0.063,0,0.063,False,20.48,,128,0.7,0.9
result\t2\20250908-131547.json,12,12288,5000,both,mean,0.999805,0.0153846,0.1372,0.1372,0,0.1372,False,20.48,,128,0.7,0.9
