file,seed,n,u_min,u_max,noise,Theta_up,Theta_down,A_loop
result\t3\20250907-131505.json,0,300,0,2,0,0.602007,2,2.82809
result\t3\20250908-120744.json,0,300,0,2,0,0.602007,2,2.82809
result\t3\20250908-121835.json,0,600,0,2,0,0.601002,2,2.82809
result\t3\20250908-121851.json,0,600,0,2,0.03,0.797997,0.891486,2.82435
result\t3\20250908-121852.json,5,600,0,2,0.03,1.06511,1.85977,2.83098
result\t3\20250908-130104.json,3,300,0,2,0,0.602007,2,2.82809
result\t3\20250908-134105.json,3,300,0,2,0.05,0.782609,0.234114,2.84086
result\t3\20250908-180257.json,2,300,0,2,0,0.602007,2,2.82809
result\t3\20250908-180258.json,0,300,0,2,0.02,1.59866,0.802676,2.82612
result\t3\20250908-180259.json,7,300,0,2,0.02,1.67893,1.81271,2.81732
result\t3\20250908-180300.json,5,300,0,2,0.05,2,1.87291,2.82169
result\t3\20250908-180301.json,3,300,0,2,0.1,0.0535117,0.234114,2.85363
result\t3\20250908-180302.json,9,300,0,2,0.1,1.2107,0.494983,2.83426
