file,mtime,seed,n,n_null,fs_ds,nperseg,band_min,band_max,mode,null_mode,stat,band_fraction,p_value_flip,p_value_phase,p_value_final,decision_alpha_0.05
"result\v2025-09-10_hard\t2\20250910-114013.json","2025-09-10T13:40:13",0,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.9999917285009199,0.006578947368421052,1.0,0.0045,1.0,False
"result\v2025-09-10_hard\t2\20250910-114041.json","2025-09-10T13:40:41",1,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.9999763071149752,0.006578947368421052,1.0,0.0227,1.0,False
"result\v2025-09-10_hard\t2\20250910-114110.json","2025-09-10T13:41:10",2,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.999954698642116,0.006578947368421052,1.0,0.0944,1.0,False
"result\v2025-09-10_hard\t2\20250910-114138.json","2025-09-10T13:41:38",3,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.9999629948578402,0.006578947368421052,1.0,0.0359,1.0,False
"result\v2025-09-10_hard\t2\20250910-114206.json","2025-09-10T13:42:06",4,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.9999797385703685,0.006578947368421052,1.0,0.0232,1.0,False
"result\v2025-09-10_hard\t2\20250910-114234.json","2025-09-10T13:42:34",5,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.999964248096595,0.006578947368421052,1.0,0.0244,1.0,False
"result\v2025-09-10_hard\t2\20250910-114302.json","2025-09-10T13:43:02",6,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.9999765945328211,0.006578947368421052,1.0,0.0273,1.0,False
"result\v2025-09-10_hard\t2\20250910-114330.json","2025-09-10T13:43:30",7,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.9999820502463472,0.006578947368421052,1.0,0.0086,1.0,False
"result\v2025-09-10_hard\t2\20250910-114400.json","2025-09-10T13:44:00",8,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.9999802855529528,0.006578947368421052,1.0,0.0148,1.0,False
"result\v2025-09-10_hard\t2\20250910-114431.json","2025-09-10T13:44:31",9,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.9999939383136878,0.006578947368421052,1.0,0.0029,1.0,False
"result\v2025-09-10_hard\t2\20250910-114501.json","2025-09-10T13:45:01",10,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.9999875101456662,0.006578947368421052,1.0,0.0046,1.0,False
"result\v2025-09-10_hard\t2\20250910-114532.json","2025-09-10T13:45:32",11,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.9999774176930438,0.006578947368421052,1.0,0.0364,1.0,False
"result\v2025-09-10_hard\t2\20250910-114602.json","2025-09-10T13:46:02",12,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.9999963416396155,0.006578947368421052,1.0,0.0014,1.0,False
"result\v2025-09-10_hard\t2\20250910-114632.json","2025-09-10T13:46:32",13,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.9999395256108972,0.006578947368421052,1.0,0.044,1.0,False
"result\v2025-09-10_hard\t2\20250910-114702.json","2025-09-10T13:47:02",14,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.999972633887668,0.006578947368421052,1.0,0.0309,1.0,False
"result\v2025-09-10_hard\t2\20250910-114733.json","2025-09-10T13:47:33",15,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.9999282238009888,0.006578947368421052,1.0,0.1055,1.0,False
"result\v2025-09-10_hard\t2\20250910-114803.json","2025-09-10T13:48:03",16,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.9999626846781356,0.006578947368421052,1.0,0.0375,1.0,False
"result\v2025-09-10_hard\t2\20250910-114834.json","2025-09-10T13:48:34",17,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.9999850220599984,0.006578947368421052,1.0,0.0115,1.0,False
"result\v2025-09-10_hard\t2\20250910-114905.json","2025-09-10T13:49:05",18,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.9999268729500417,0.006578947368421052,1.0,0.1292,1.0,False
"result\v2025-09-10_hard\t2\20250910-114935.json","2025-09-10T13:49:35",19,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.9999577635267484,0.006578947368421052,1.0,0.051,1.0,False
"result\v2025-09-10_hard\t2\20250910-115004.json","2025-09-10T13:50:04",20,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.9999594525434583,0.006578947368421052,1.0,0.0413,1.0,False
"result\v2025-09-10_hard\t2\20250910-115033.json","2025-09-10T13:50:33",21,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.9999243943203489,0.006578947368421052,1.0,0.0604,1.0,False
"result\v2025-09-10_hard\t2\20250910-115101.json","2025-09-10T13:51:01",22,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.9999360832129486,0.006578947368421052,1.0,0.1149,1.0,False
"result\v2025-09-10_hard\t2\20250910-115130.json","2025-09-10T13:51:30",23,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.9999657377243794,0.006578947368421052,1.0,0.0731,1.0,False
"result\v2025-09-10_hard\t2\20250910-115158.json","2025-09-10T13:51:58",24,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.9999988294871557,0.006578947368421052,1.0,0.0001,1.0,False
"result\v2025-09-10_hard\t2\20250910-115226.json","2025-09-10T13:52:26",25,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.9999670135534607,0.006578947368421052,1.0,0.054,1.0,False
"result\v2025-09-10_hard\t2\20250910-115254.json","2025-09-10T13:52:54",26,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.9999737131626087,0.006578947368421052,1.0,0.0175,1.0,False
"result\v2025-09-10_hard\t2\20250910-115323.json","2025-09-10T13:53:23",27,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.999954976340357,0.006578947368421052,1.0,0.0251,1.0,False
"result\v2025-09-10_hard\t2\20250910-115351.json","2025-09-10T13:53:51",28,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.9999615012371655,0.006578947368421052,1.0,0.0567,1.0,False
"result\v2025-09-10_hard\t2\20250910-115419.json","2025-09-10T13:54:19",29,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.9999709955207906,0.006578947368421052,1.0,0.0445,1.0,False
"result\v2025-09-10_hard\t2\20250910-115447.json","2025-09-10T13:54:47",30,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.999978191594329,0.006578947368421052,1.0,0.0126,1.0,False
"result\v2025-09-10_hard\t2\20250910-115516.json","2025-09-10T13:55:16",31,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.9999659162532648,0.006578947368421052,1.0,0.0334,1.0,False
"result\v2025-09-10_hard\t2\20250910-115544.json","2025-09-10T13:55:44",32,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.9999836832815795,0.006578947368421052,1.0,0.0187,1.0,False
"result\v2025-09-10_hard\t2\20250910-115612.json","2025-09-10T13:56:12",33,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.9999909998277566,0.006578947368421052,1.0,0.0034,1.0,False
"result\v2025-09-10_hard\t2\20250910-115640.json","2025-09-10T13:56:40",34,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.9999581674128468,0.006578947368421052,1.0,0.0637,1.0,False
"result\v2025-09-10_hard\t2\20250910-115709.json","2025-09-10T13:57:09",35,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.9999437595954007,0.006578947368421052,1.0,0.0541,1.0,False
"result\v2025-09-10_hard\t2\20250910-115737.json","2025-09-10T13:57:37",36,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.9999535183964136,0.006578947368421052,1.0,0.1668,1.0,False
"result\v2025-09-10_hard\t2\20250910-115805.json","2025-09-10T13:58:05",37,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.999989469568917,0.006578947368421052,1.0,0.0088,1.0,False
"result\v2025-09-10_hard\t2\20250910-115833.json","2025-09-10T13:58:33",38,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.999945732191659,0.006578947368421052,1.0,0.1532,1.0,False
"result\v2025-09-10_hard\t2\20250910-115902.json","2025-09-10T13:59:02",39,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.9999895538198672,0.006578947368421052,1.0,0.0038,1.0,False
"result\v2025-09-10_hard\t2\20250910-115931.json","2025-09-10T13:59:31",40,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.9999645925369621,0.006578947368421052,1.0,0.0413,1.0,False
"result\v2025-09-10_hard\t2\20250910-115959.json","2025-09-10T13:59:59",41,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.9999281380929094,0.006578947368421052,1.0,0.1489,1.0,False
"result\v2025-09-10_hard\t2\20250910-120027.json","2025-09-10T14:00:27",42,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.9999977883461352,0.006578947368421052,1.0,0.0002,1.0,False
